country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Bangladesh,BD,BGD,50,Minimum diet diversity (children aged 6 to 23 months),2018,38.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Minimum diet diversity (children aged 6 to 23 months),2019,35.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Minimum diet diversity (children aged 6 to 23 months),2011,23.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Minimum diet diversity (children aged 6 to 23 months),2014,26.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Minimum diet diversity (children aged 6 to 23 months),2018,38.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Bangladesh,BD,BGD,50,Minimum diet diversity (children aged 6 to 23 months),2019,33.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Belarus,BY,BLR,112,Minimum diet diversity (children aged 6 to 23 months),2019,70.8,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Belarus,BY,BLR,112,Minimum diet diversity (children aged 6 to 23 months),2019,68.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Belarus,BY,BLR,112,Minimum diet diversity (children aged 6 to 23 months),2019,69.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Belize,BZ,BLZ,84,Minimum diet diversity (children aged 6 to 23 months),2015,58.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Belize,BZ,BLZ,84,Minimum diet diversity (children aged 6 to 23 months),2015,57.5,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Belize,BZ,BLZ,84,Minimum diet diversity (children aged 6 to 23 months),2015,57.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Minimum diet diversity (children aged 6 to 23 months),2012,27,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Minimum diet diversity (children aged 6 to 23 months),2014,21.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Minimum diet diversity (children aged 6 to 23 months),2018,25.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Minimum diet diversity (children aged 6 to 23 months),2012,30.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Minimum diet diversity (children aged 6 to 23 months),2014,21.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Benin,BJ,BEN,204,Minimum diet diversity (children aged 6 to 23 months),2018,25.8,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
