country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
"Congo, the Democratic Republic of the",CD,COD,180,Minimum diet diversity (children aged 6 to 23 months),2017,15.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Minimum diet diversity (children aged 6 to 23 months),2007,59.7,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Minimum diet diversity (children aged 6 to 23 months),2013,50.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Minimum diet diversity (children aged 6 to 23 months),2014,52.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Minimum diet diversity (children aged 6 to 23 months),2007,56.4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Minimum diet diversity (children aged 6 to 23 months),2013,45.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Minimum diet diversity (children aged 6 to 23 months),2014,50,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Minimum diet diversity (children aged 6 to 23 months),2007,58,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Minimum diet diversity (children aged 6 to 23 months),2013,48.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Dominican Republic,DO,DOM,214,Minimum diet diversity (children aged 6 to 23 months),2014,51.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ecuador,EC,ECU,218,Minimum diet diversity (children aged 6 to 23 months),2019,52.3,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ecuador,EC,ECU,218,Minimum diet diversity (children aged 6 to 23 months),2019,53.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ecuador,EC,ECU,218,Minimum diet diversity (children aged 6 to 23 months),2019,53,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Minimum diet diversity (children aged 6 to 23 months),2005,53.8,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Minimum diet diversity (children aged 6 to 23 months),2008,46.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Minimum diet diversity (children aged 6 to 23 months),2014,34.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Minimum diet diversity (children aged 6 to 23 months),2005,58.5,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Minimum diet diversity (children aged 6 to 23 months),2008,47.5,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Minimum diet diversity (children aged 6 to 23 months),2014,34.5,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Minimum diet diversity (children aged 6 to 23 months),2005,56.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Minimum diet diversity (children aged 6 to 23 months),2008,47.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Egypt,EG,EGY,818,Minimum diet diversity (children aged 6 to 23 months),2014,34.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
El Salvador,SV,SLV,222,Minimum diet diversity (children aged 6 to 23 months),2014,72.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
El Salvador,SV,SLV,222,Minimum diet diversity (children aged 6 to 23 months),2014,73.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
El Salvador,SV,SLV,222,Minimum diet diversity (children aged 6 to 23 months),2014,72.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Minimum diet diversity (children aged 6 to 23 months),2006,42,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Minimum diet diversity (children aged 6 to 23 months),2014,47.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Minimum diet diversity (children aged 6 to 23 months),2006,41.8,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Minimum diet diversity (children aged 6 to 23 months),2014,48,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Minimum diet diversity (children aged 6 to 23 months),2006,41.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Swaziland,SZ,SWZ,748,Minimum diet diversity (children aged 6 to 23 months),2014,47.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Minimum diet diversity (children aged 6 to 23 months),2005,5.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Minimum diet diversity (children aged 6 to 23 months),2011,4.8,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Minimum diet diversity (children aged 6 to 23 months),2016,12,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Minimum diet diversity (children aged 6 to 23 months),2019,12.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Minimum diet diversity (children aged 6 to 23 months),2005,5.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Minimum diet diversity (children aged 6 to 23 months),2011,4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Minimum diet diversity (children aged 6 to 23 months),2016,13.1,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Minimum diet diversity (children aged 6 to 23 months),2019,14,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Minimum diet diversity (children aged 6 to 23 months),2005,5.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Minimum diet diversity (children aged 6 to 23 months),2011,4.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Minimum diet diversity (children aged 6 to 23 months),2016,12.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ethiopia,ET,ETH,231,Minimum diet diversity (children aged 6 to 23 months),2019,13.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Gabon,GA,GAB,266,Minimum diet diversity (children aged 6 to 23 months),2012,17.3,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Gabon,GA,GAB,266,Minimum diet diversity (children aged 6 to 23 months),2012,18.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Gabon,GA,GAB,266,Minimum diet diversity (children aged 6 to 23 months),2012,17.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Minimum diet diversity (children aged 6 to 23 months),2013,10.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Minimum diet diversity (children aged 6 to 23 months),2018,15.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Minimum diet diversity (children aged 6 to 23 months),2020,22.3,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Minimum diet diversity (children aged 6 to 23 months),2013,10.1,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Minimum diet diversity (children aged 6 to 23 months),2018,16.4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Minimum diet diversity (children aged 6 to 23 months),2020,23.4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Minimum diet diversity (children aged 6 to 23 months),2013,10.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Minimum diet diversity (children aged 6 to 23 months),2018,15.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Gambia,GM,GMB,270,Minimum diet diversity (children aged 6 to 23 months),2020,22.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Georgia,GE,GEO,268,Minimum diet diversity (children aged 6 to 23 months),2018,55.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Georgia,GE,GEO,268,Minimum diet diversity (children aged 6 to 23 months),2018,49.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Georgia,GE,GEO,268,Minimum diet diversity (children aged 6 to 23 months),2018,52.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Minimum diet diversity (children aged 6 to 23 months),2008,39.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Minimum diet diversity (children aged 6 to 23 months),2011,37.8,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Minimum diet diversity (children aged 6 to 23 months),2014,26.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Minimum diet diversity (children aged 6 to 23 months),2017,26.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Minimum diet diversity (children aged 6 to 23 months),2008,45.1,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Minimum diet diversity (children aged 6 to 23 months),2011,34.8,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Minimum diet diversity (children aged 6 to 23 months),2014,22.4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Minimum diet diversity (children aged 6 to 23 months),2017,25.5,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Minimum diet diversity (children aged 6 to 23 months),2008,42.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Minimum diet diversity (children aged 6 to 23 months),2011,36.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Minimum diet diversity (children aged 6 to 23 months),2014,24.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ghana,GH,GHA,288,Minimum diet diversity (children aged 6 to 23 months),2017,26.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guatemala,GT,GTM,320,Minimum diet diversity (children aged 6 to 23 months),2015,58.7,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guatemala,GT,GTM,320,Minimum diet diversity (children aged 6 to 23 months),2015,59.9,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guatemala,GT,GTM,320,Minimum diet diversity (children aged 6 to 23 months),2015,59.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Minimum diet diversity (children aged 6 to 23 months),2012,7,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Minimum diet diversity (children aged 6 to 23 months),2016,6.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Minimum diet diversity (children aged 6 to 23 months),2018,13.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Minimum diet diversity (children aged 6 to 23 months),2012,5.8,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Minimum diet diversity (children aged 6 to 23 months),2016,5.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Minimum diet diversity (children aged 6 to 23 months),2018,13.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Minimum diet diversity (children aged 6 to 23 months),2012,6.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Minimum diet diversity (children aged 6 to 23 months),2016,5.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guinea,GN,GIN,324,Minimum diet diversity (children aged 6 to 23 months),2018,13.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guinea-Bissau,GW,GNB,624,Minimum diet diversity (children aged 6 to 23 months),2014,10,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guinea-Bissau,GW,GNB,624,Minimum diet diversity (children aged 6 to 23 months),2019,7.7,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guinea-Bissau,GW,GNB,624,Minimum diet diversity (children aged 6 to 23 months),2014,10.1,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guinea-Bissau,GW,GNB,624,Minimum diet diversity (children aged 6 to 23 months),2019,8.5,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guinea-Bissau,GW,GNB,624,Minimum diet diversity (children aged 6 to 23 months),2014,10,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guinea-Bissau,GW,GNB,624,Minimum diet diversity (children aged 6 to 23 months),2019,8.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Minimum diet diversity (children aged 6 to 23 months),2009,49.7,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Minimum diet diversity (children aged 6 to 23 months),2014,50.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Minimum diet diversity (children aged 6 to 23 months),2009,46.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Minimum diet diversity (children aged 6 to 23 months),2014,54.5,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Minimum diet diversity (children aged 6 to 23 months),2009,48.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Guyana,GY,GUY,328,Minimum diet diversity (children aged 6 to 23 months),2014,52.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Minimum diet diversity (children aged 6 to 23 months),2006,22.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Minimum diet diversity (children aged 6 to 23 months),2012,23.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Minimum diet diversity (children aged 6 to 23 months),2017,20.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Minimum diet diversity (children aged 6 to 23 months),2006,24.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Minimum diet diversity (children aged 6 to 23 months),2012,22.9,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Minimum diet diversity (children aged 6 to 23 months),2017,18.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Minimum diet diversity (children aged 6 to 23 months),2006,23.4,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Minimum diet diversity (children aged 6 to 23 months),2012,23,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Haiti,HT,HTI,332,Minimum diet diversity (children aged 6 to 23 months),2017,19.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Minimum diet diversity (children aged 6 to 23 months),2006,58.7,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Minimum diet diversity (children aged 6 to 23 months),2012,60.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Minimum diet diversity (children aged 6 to 23 months),2006,58.4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Minimum diet diversity (children aged 6 to 23 months),2012,61.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Minimum diet diversity (children aged 6 to 23 months),2006,58.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Honduras,HN,HND,340,Minimum diet diversity (children aged 6 to 23 months),2012,60.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Minimum diet diversity (children aged 6 to 23 months),2006,13,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Minimum diet diversity (children aged 6 to 23 months),2015,20.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Minimum diet diversity (children aged 6 to 23 months),2017,16.5,Female,Units,%,External Reanalysis,Free,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Minimum diet diversity (children aged 6 to 23 months),2006,13,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Minimum diet diversity (children aged 6 to 23 months),2015,19.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Minimum diet diversity (children aged 6 to 23 months),2017,16.3,Male,Units,%,External Reanalysis,Free,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Minimum diet diversity (children aged 6 to 23 months),2006,13,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Minimum diet diversity (children aged 6 to 23 months),2015,19.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
India,IN,IND,356,Minimum diet diversity (children aged 6 to 23 months),2017,16.4,Total,Units,%,External Reanalysis,Free,Middle of fieldwork,6 to 23 months old
Indonesia,ID,IDN,360,Minimum diet diversity (children aged 6 to 23 months),2012,53.9,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Indonesia,ID,IDN,360,Minimum diet diversity (children aged 6 to 23 months),2017,55.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Indonesia,ID,IDN,360,Minimum diet diversity (children aged 6 to 23 months),2012,51.4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Indonesia,ID,IDN,360,Minimum diet diversity (children aged 6 to 23 months),2017,52.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Indonesia,ID,IDN,360,Minimum diet diversity (children aged 6 to 23 months),2012,52.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Indonesia,ID,IDN,360,Minimum diet diversity (children aged 6 to 23 months),2017,53.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Iraq,IQ,IRQ,368,Minimum diet diversity (children aged 6 to 23 months),2018,43.7,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Iraq,IQ,IRQ,368,Minimum diet diversity (children aged 6 to 23 months),2018,45.4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Iraq,IQ,IRQ,368,Minimum diet diversity (children aged 6 to 23 months),2018,44.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Minimum diet diversity (children aged 6 to 23 months),2007,66.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Minimum diet diversity (children aged 6 to 23 months),2012,39.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Minimum diet diversity (children aged 6 to 23 months),2017,33.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Minimum diet diversity (children aged 6 to 23 months),2007,68,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Minimum diet diversity (children aged 6 to 23 months),2012,38.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Minimum diet diversity (children aged 6 to 23 months),2017,36.1,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Minimum diet diversity (children aged 6 to 23 months),2007,67.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Minimum diet diversity (children aged 6 to 23 months),2012,38.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Jordan,JO,JOR,400,Minimum diet diversity (children aged 6 to 23 months),2017,35,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kazakhstan,KZ,KAZ,398,Minimum diet diversity (children aged 6 to 23 months),2015,48.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kazakhstan,KZ,KAZ,398,Minimum diet diversity (children aged 6 to 23 months),2015,49.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kazakhstan,KZ,KAZ,398,Minimum diet diversity (children aged 6 to 23 months),2015,49,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kenya,KE,KEN,404,Minimum diet diversity (children aged 6 to 23 months),2014,36.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kenya,KE,KEN,404,Minimum diet diversity (children aged 6 to 23 months),2014,36.5,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kenya,KE,KEN,404,Minimum diet diversity (children aged 6 to 23 months),2014,36.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kiribati,KI,KIR,296,Minimum diet diversity (children aged 6 to 23 months),2009,24,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kiribati,KI,KIR,296,Minimum diet diversity (children aged 6 to 23 months),2018,8.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kiribati,KI,KIR,296,Minimum diet diversity (children aged 6 to 23 months),2009,29.4,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kiribati,KI,KIR,296,Minimum diet diversity (children aged 6 to 23 months),2018,10.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kiribati,KI,KIR,296,Minimum diet diversity (children aged 6 to 23 months),2009,26.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kiribati,KI,KIR,296,Minimum diet diversity (children aged 6 to 23 months),2018,9.3,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Minimum diet diversity (children aged 6 to 23 months),2012,37,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Minimum diet diversity (children aged 6 to 23 months),2014,37.5,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Minimum diet diversity (children aged 6 to 23 months),2018,60.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Minimum diet diversity (children aged 6 to 23 months),2012,36.9,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Minimum diet diversity (children aged 6 to 23 months),2014,38.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Minimum diet diversity (children aged 6 to 23 months),2018,59,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Minimum diet diversity (children aged 6 to 23 months),2012,37,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Minimum diet diversity (children aged 6 to 23 months),2014,37.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Kyrgyzstan,KG,KGZ,417,Minimum diet diversity (children aged 6 to 23 months),2018,59.8,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Lao People's Democratic Republic,LA,LAO,418,Minimum diet diversity (children aged 6 to 23 months),2017,34.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Lao People's Democratic Republic,LA,LAO,418,Minimum diet diversity (children aged 6 to 23 months),2017,36.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Lao People's Democratic Republic,LA,LAO,418,Minimum diet diversity (children aged 6 to 23 months),2017,35.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Lesotho,LS,LSO,426,Minimum diet diversity (children aged 6 to 23 months),2009,10.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Lesotho,LS,LSO,426,Minimum diet diversity (children aged 6 to 23 months),2014,18.2,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Lesotho,LS,LSO,426,Minimum diet diversity (children aged 6 to 23 months),2018,16,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Lesotho,LS,LSO,426,Minimum diet diversity (children aged 6 to 23 months),2009,10.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Lesotho,LS,LSO,426,Minimum diet diversity (children aged 6 to 23 months),2014,15.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Lesotho,LS,LSO,426,Minimum diet diversity (children aged 6 to 23 months),2018,17.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Lesotho,LS,LSO,426,Minimum diet diversity (children aged 6 to 23 months),2009,10.5,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Lesotho,LS,LSO,426,Minimum diet diversity (children aged 6 to 23 months),2014,16.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Lesotho,LS,LSO,426,Minimum diet diversity (children aged 6 to 23 months),2018,16.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Liberia,LR,LBR,430,Minimum diet diversity (children aged 6 to 23 months),2007,23.4,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Liberia,LR,LBR,430,Minimum diet diversity (children aged 6 to 23 months),2013,9.7,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
